location,date,epiweek,epiyear,population,count,weekly_rate
Georgia,2023-12-02,48,2023,10855454,390,3.59266411151482
Hawaii,2023-12-02,48,2023,1398977,77,5.504021867407398
Idaho,2023-12-02,48,2023,1935521,157,8.11151106084615
Illinois,2023-12-02,48,2023,12563096,1273,10.132852602575033
Indiana,2023-12-02,48,2023,6831941,705,10.319175765715775
Iowa,2023-12-02,48,2023,3200224,318,9.936804423690342
Kansas,2023-12-02,48,2023,2916451,224,7.680567923136716
Kentucky,2023-12-02,48,2023,4494379,437,9.723256538890022
Louisiana,2023-12-02,48,2023,4575074,201,4.3933715607660115
Maine,2023-12-02,48,2023,1384543,87,6.283661829210072
Maryland,2023-12-02,48,2023,6133130,405,6.603479789275623
Massachusetts,2023-12-02,48,2023,6978662,601,8.611966018701006
Michigan,2023-12-02,48,2023,10032075,1064,10.605981314932354
Minnesota,2023-12-02,48,2023,5716548,450,7.871883521313912
Mississippi,2023-12-02,48,2023,2927305,104,3.552755862474187
Missouri,2023-12-02,48,2023,6164537,670,10.868618356901743
Montana,2023-12-02,48,2023,1119563,104,9.289338786651577
Nebraska,2023-12-02,48,2023,1961505,183,9.329570916209747
Nevada,2023-12-02,48,2023,3165539,204,6.444400147968482
New Hampshire,2023-12-02,48,2023,1394692,91,6.524738078371425
New Jersey,2023-12-02,48,2023,9254137,622,6.721318260146786
New Mexico,2023-12-02,48,2023,2100079,157,7.475909239604796
New York,2023-12-02,48,2023,19657190,1533,7.7986731572518755
North Carolina,2023-12-02,48,2023,10596562,462,4.359904655868573
North Dakota,2023-12-02,48,2023,772061,89,11.527586550803628
Ohio,2023-12-02,48,2023,11749303,1247,10.61339553503727
Oklahoma,2023-12-02,48,2023,4001266,306,7.64757954107525
Oregon,2023-12-02,48,2023,4238665,225,5.308275129079557
Pennsylvania,2023-12-02,48,2023,12969276,1184,9.12926827989473
Puerto Rico,2023-12-02,48,2023,3221789,91,2.8245176825670457
Rhode Island,2023-12-02,48,2023,1090390,53,4.860646190812462
South Carolina,2023-12-02,48,2023,5246039,253,4.822686220975482
