location,date,epiweek,season,epiyear,population,pop_served,count,weekly_rate,type
Connecticut,2020-02-22,8,2019-20,2020,3621089,869061.36,6,0.7,Crude Rate
Georgia,2020-02-22,8,2019-20,2020,10855454,4233627.0600000005,13,0.3,Crude Rate
Maryland,2020-02-22,8,2019-20,2020,6133130,2821239.8000000003,14,0.5,Crude Rate
Michigan,2020-02-22,8,2019-20,2020,10032075,1304169.75,25,1.9,Crude Rate
Minnesota,2020-02-22,8,2019-20,2020,5716548,3144101.4000000004,22,0.7,Crude Rate
New Mexico,2020-02-22,8,2019-20,2020,2100079,672025.28,52,7.8,Crude Rate
New York,2020-02-22,8,2019-20,2020,19657190,1769147.0999999999,34,1.9,Crude Rate
Oregon,2020-02-22,8,2019-20,2020,4238665,1822625.95,29,1.6,Crude Rate
Tennessee,2020-02-22,8,2019-20,2020,7030607,1827957.82,15,0.8,Crude Rate
Utah,2020-02-22,8,2019-20,2020,3376238,1215445.68,46,3.8,Crude Rate
California,2020-02-29,9,2019-20,2020,38886551,3499789.59,56,1.6,Crude Rate
Colorado,2020-02-29,9,2019-20,2020,5803748,2843836.52,54,1.9,Crude Rate
Connecticut,2020-02-29,9,2019-20,2020,3621089,869061.36,8,0.9,Crude Rate
Georgia,2020-02-29,9,2019-20,2020,10855454,4233627.0600000005,13,0.3,Crude Rate
Maryland,2020-02-29,9,2019-20,2020,6133130,2821239.8000000003,11,0.4,Crude Rate
Michigan,2020-02-29,9,2019-20,2020,10032075,1304169.75,10,0.8,Crude Rate
Minnesota,2020-02-29,9,2019-20,2020,5716548,3144101.4000000004,16,0.5,Crude Rate
New Mexico,2020-02-29,9,2019-20,2020,2100079,672025.28,38,5.6,Crude Rate
New York,2020-02-29,9,2019-20,2020,19657190,1769147.0999999999,21,1.2,Crude Rate
Oregon,2020-02-29,9,2019-20,2020,4238665,1822625.95,20,1.1,Crude Rate
Tennessee,2020-02-29,9,2019-20,2020,7030607,1827957.82,13,0.7,Crude Rate
Utah,2020-02-29,9,2019-20,2020,3376238,1215445.68,29,2.4,Crude Rate
California,2020-03-07,10,2019-20,2020,38886551,3499789.59,35,1,Crude Rate
Colorado,2020-03-07,10,2019-20,2020,5803748,2843836.52,65,2.3,Crude Rate
Connecticut,2020-03-07,10,2019-20,2020,3621089,869061.36,7,0.8,Crude Rate
Georgia,2020-03-07,10,2019-20,2020,10855454,4233627.0600000005,8,0.2,Crude Rate
Maryland,2020-03-07,10,2019-20,2020,6133130,2821239.8000000003,11,0.4,Crude Rate
Michigan,2020-03-07,10,2019-20,2020,10032075,1304169.75,17,1.3,Crude Rate
Minnesota,2020-03-07,10,2019-20,2020,5716548,3144101.4000000004,22,0.7,Crude Rate
New Mexico,2020-03-07,10,2019-20,2020,2100079,672025.28,40,5.9,Crude Rate
New York,2020-03-07,10,2019-20,2020,19657190,1769147.0999999999,14,0.8,Crude Rate
Oregon,2020-03-07,10,2019-20,2020,4238665,1822625.95,31,1.7,Crude Rate
Tennessee,2020-03-07,10,2019-20,2020,7030607,1827957.82,13,0.7,Crude Rate
Utah,2020-03-07,10,2019-20,2020,3376238,1215445.68,30,2.5,Crude Rate
California,2020-03-14,11,2019-20,2020,38886551,3499789.59,28,0.8,Crude Rate
Colorado,2020-03-14,11,2019-20,2020,5803748,2843836.52,51,1.8,Crude Rate
Connecticut,2020-03-14,11,2019-20,2020,3621089,869061.36,8,0.9,Crude Rate
Georgia,2020-03-14,11,2019-20,2020,10855454,4233627.0600000005,17,0.4,Crude Rate
Maryland,2020-03-14,11,2019-20,2020,6133130,2821239.8000000003,14,0.5,Crude Rate
Michigan,2020-03-14,11,2019-20,2020,10032075,1304169.75,5,0.4,Crude Rate
Minnesota,2020-03-14,11,2019-20,2020,5716548,3144101.4000000004,25,0.8,Crude Rate
New Mexico,2020-03-14,11,2019-20,2020,2100079,672025.28,21,3.1,Crude Rate
New York,2020-03-14,11,2019-20,2020,19657190,1769147.0999999999,12,0.7,Crude Rate
Oregon,2020-03-14,11,2019-20,2020,4238665,1822625.95,20,1.1,Crude Rate
Tennessee,2020-03-14,11,2019-20,2020,7030607,1827957.82,7,0.4,Crude Rate
Utah,2020-03-14,11,2019-20,2020,3376238,1215445.68,19,1.6,Crude Rate
California,2020-03-21,12,2019-20,2020,38886551,3499789.59,14,0.4,Crude Rate
Colorado,2020-03-21,12,2019-20,2020,5803748,2843836.52,43,1.5,Crude Rate
Connecticut,2020-03-21,12,2019-20,2020,3621089,869061.36,6,0.7,Crude Rate
Georgia,2020-03-21,12,2019-20,2020,10855454,4233627.0600000005,4,0.1,Crude Rate
Maryland,2020-03-21,12,2019-20,2020,6133130,2821239.8000000003,6,0.2,Crude Rate
Michigan,2020-03-21,12,2019-20,2020,10032075,1304169.75,1,0.1,Crude Rate
Minnesota,2020-03-21,12,2019-20,2020,5716548,3144101.4000000004,19,0.6,Crude Rate
New Mexico,2020-03-21,12,2019-20,2020,2100079,672025.28,11,1.6,Crude Rate
New York,2020-03-21,12,2019-20,2020,19657190,1769147.0999999999,9,0.5,Crude Rate
Oregon,2020-03-21,12,2019-20,2020,4238665,1822625.95,20,1.1,Crude Rate
Tennessee,2020-03-21,12,2019-20,2020,7030607,1827957.82,7,0.4,Crude Rate
Utah,2020-03-21,12,2019-20,2020,3376238,1215445.68,21,1.7,Crude Rate
California,2020-03-28,13,2019-20,2020,38886551,3499789.59,10,0.3,Crude Rate
Colorado,2020-03-28,13,2019-20,2020,5803748,2843836.52,20,0.7,Crude Rate
Connecticut,2020-03-28,13,2019-20,2020,3621089,869061.36,3,0.4,Crude Rate
Georgia,2020-03-28,13,2019-20,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-03-28,13,2019-20,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-03-28,13,2019-20,2020,10032075,1304169.75,5,0.4,Crude Rate
Minnesota,2020-03-28,13,2019-20,2020,5716548,3144101.4000000004,9,0.3,Crude Rate
New Mexico,2020-03-28,13,2019-20,2020,2100079,672025.28,10,1.5,Crude Rate
New York,2020-03-28,13,2019-20,2020,19657190,1769147.0999999999,5,0.3,Crude Rate
Oregon,2020-03-28,13,2019-20,2020,4238665,1822625.95,9,0.5,Crude Rate
Tennessee,2020-03-28,13,2019-20,2020,7030607,1827957.82,4,0.2,Crude Rate
Utah,2020-03-28,13,2019-20,2020,3376238,1215445.68,10,0.8,Crude Rate
California,2020-04-04,14,2019-20,2020,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2020-04-04,14,2019-20,2020,5803748,2843836.52,9,0.3,Crude Rate
Connecticut,2020-04-04,14,2019-20,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-04-04,14,2019-20,2020,10855454,4233627.0600000005,4,0.1,Crude Rate
Maryland,2020-04-04,14,2019-20,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-04-04,14,2019-20,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-04-04,14,2019-20,2020,5716548,3144101.4000000004,6,0.2,Crude Rate
New Mexico,2020-04-04,14,2019-20,2020,2100079,672025.28,2,0.3,Crude Rate
New York,2020-04-04,14,2019-20,2020,19657190,1769147.0999999999,5,0.3,Crude Rate
Oregon,2020-04-04,14,2019-20,2020,4238665,1822625.95,4,0.2,Crude Rate
Tennessee,2020-04-04,14,2019-20,2020,7030607,1827957.82,2,0.1,Crude Rate
Utah,2020-04-04,14,2019-20,2020,3376238,1215445.68,6,0.5,Crude Rate
California,2020-04-11,15,2019-20,2020,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2020-04-11,15,2019-20,2020,5803748,2843836.52,6,0.2,Crude Rate
Connecticut,2020-04-11,15,2019-20,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-04-11,15,2019-20,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-04-11,15,2019-20,2020,6133130,2821239.8000000003,3,0.1,Crude Rate
Michigan,2020-04-11,15,2019-20,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-04-11,15,2019-20,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-04-11,15,2019-20,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-04-11,15,2019-20,2020,19657190,1769147.0999999999,2,0.1,Crude Rate
Oregon,2020-04-11,15,2019-20,2020,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2020-04-11,15,2019-20,2020,7030607,1827957.82,2,0.1,Crude Rate
Utah,2020-04-11,15,2019-20,2020,3376238,1215445.68,2,0.2,Crude Rate
California,2020-04-18,16,2019-20,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-04-18,16,2019-20,2020,5803748,2843836.52,3,0.1,Crude Rate
Connecticut,2020-04-18,16,2019-20,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-04-18,16,2019-20,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-04-18,16,2019-20,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-04-18,16,2019-20,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-04-18,16,2019-20,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-04-18,16,2019-20,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-04-18,16,2019-20,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-04-18,16,2019-20,2020,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2020-04-18,16,2019-20,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-04-18,16,2019-20,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-04-25,17,2019-20,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-04-25,17,2019-20,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-04-25,17,2019-20,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-04-25,17,2019-20,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-04-25,17,2019-20,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-04-25,17,2019-20,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-04-25,17,2019-20,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-04-25,17,2019-20,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-04-25,17,2019-20,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-04-25,17,2019-20,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-04-25,17,2019-20,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-04-25,17,2019-20,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-05-02,18,2019-20,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-05-02,18,2019-20,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-05-02,18,2019-20,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-05-02,18,2019-20,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-05-02,18,2019-20,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-05-02,18,2019-20,2020,10032075,1304169.75,1,0.1,Crude Rate
Minnesota,2020-05-02,18,2019-20,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-05-02,18,2019-20,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-05-02,18,2019-20,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-05-02,18,2019-20,2020,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2020-05-02,18,2019-20,2020,7030607,1827957.82,2,0.1,Crude Rate
Utah,2020-05-02,18,2019-20,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-10-03,40,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-10-03,40,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-10-03,40,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-10-03,40,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-10-03,40,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-10-03,40,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-10-03,40,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-10-03,40,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-10-03,40,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-10-03,40,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-10-03,40,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-10-03,40,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-10-10,41,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-10-10,41,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-10-10,41,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-10-10,41,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-10-10,41,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-10-10,41,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-10-10,41,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-10-10,41,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-10-10,41,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-10-10,41,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-10-10,41,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-10-10,41,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-10-17,42,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-10-17,42,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-10-17,42,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-10-17,42,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-10-17,42,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-10-17,42,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-10-17,42,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-10-17,42,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-10-17,42,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-10-17,42,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-10-17,42,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-10-17,42,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-10-24,43,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-10-24,43,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-10-24,43,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-10-24,43,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-10-24,43,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-10-24,43,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-10-24,43,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-10-24,43,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-10-24,43,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-10-24,43,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-10-24,43,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-10-24,43,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-10-31,44,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-10-31,44,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-10-31,44,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-10-31,44,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-10-31,44,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-10-31,44,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-10-31,44,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-10-31,44,2020-21,2020,2100079,672025.28,1,0.1,Crude Rate
New York,2020-10-31,44,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-10-31,44,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-10-31,44,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-10-31,44,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-11-07,45,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-11-07,45,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-11-07,45,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-11-07,45,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-11-07,45,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-11-07,45,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-11-07,45,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-11-07,45,2020-21,2020,2100079,672025.28,1,0.1,Crude Rate
New York,2020-11-07,45,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-11-07,45,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-11-07,45,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-11-07,45,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-11-14,46,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-11-14,46,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-11-14,46,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-11-14,46,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-11-14,46,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-11-14,46,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-11-14,46,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-11-14,46,2020-21,2020,2100079,672025.28,1,0.1,Crude Rate
New York,2020-11-14,46,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-11-14,46,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-11-14,46,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-11-14,46,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-11-21,47,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-11-21,47,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-11-21,47,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-11-21,47,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-11-21,47,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-11-21,47,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-11-21,47,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-11-21,47,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-11-21,47,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-11-21,47,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-11-21,47,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-11-21,47,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-11-28,48,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-11-28,48,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-11-28,48,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-11-28,48,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-11-28,48,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-11-28,48,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-11-28,48,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-11-28,48,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-11-28,48,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-11-28,48,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-11-28,48,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-11-28,48,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-12-05,49,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-12-05,49,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-12-05,49,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-12-05,49,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-12-05,49,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-12-05,49,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-12-05,49,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-12-05,49,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-12-05,49,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-12-05,49,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-12-05,49,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-12-05,49,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-12-12,50,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-12-12,50,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-12-12,50,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-12-12,50,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-12-12,50,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-12-12,50,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-12-12,50,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-12-12,50,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-12-12,50,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-12-12,50,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-12-12,50,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-12-12,50,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-12-19,51,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-12-19,51,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-12-19,51,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-12-19,51,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-12-19,51,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-12-19,51,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-12-19,51,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-12-19,51,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-12-19,51,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-12-19,51,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-12-19,51,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-12-19,51,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2020-12-26,52,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2020-12-26,52,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2020-12-26,52,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2020-12-26,52,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2020-12-26,52,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2020-12-26,52,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2020-12-26,52,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2020-12-26,52,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2020-12-26,52,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2020-12-26,52,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2020-12-26,52,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2020-12-26,52,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2021-01-02,53,2020-21,2020,38886551,3499789.59,0,0,Crude Rate
Colorado,2021-01-02,53,2020-21,2020,5803748,2843836.52,0,0,Crude Rate
Connecticut,2021-01-02,53,2020-21,2020,3621089,869061.36,0,0,Crude Rate
Georgia,2021-01-02,53,2020-21,2020,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2021-01-02,53,2020-21,2020,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2021-01-02,53,2020-21,2020,10032075,1304169.75,0,0,Crude Rate
Minnesota,2021-01-02,53,2020-21,2020,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2021-01-02,53,2020-21,2020,2100079,672025.28,0,0,Crude Rate
New York,2021-01-02,53,2020-21,2020,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2021-01-02,53,2020-21,2020,4238665,1822625.95,0,0,Crude Rate
Tennessee,2021-01-02,53,2020-21,2020,7030607,1827957.82,0,0,Crude Rate
Utah,2021-01-02,53,2020-21,2020,3376238,1215445.68,0,0,Crude Rate
California,2021-01-09,1,2020-21,2021,38886551,3499789.59,0,0,Crude Rate
Colorado,2021-01-09,1,2020-21,2021,5803748,2843836.52,0,0,Crude Rate
Connecticut,2021-01-09,1,2020-21,2021,3621089,869061.36,0,0,Crude Rate
Georgia,2021-01-09,1,2020-21,2021,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2021-01-09,1,2020-21,2021,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2021-01-09,1,2020-21,2021,10032075,1304169.75,0,0,Crude Rate
Minnesota,2021-01-09,1,2020-21,2021,5716548,3144101.4000000004,0,0,Crude Rate
New Mexico,2021-01-09,1,2020-21,2021,2100079,672025.28,1,0.1,Crude Rate
New York,2021-01-09,1,2020-21,2021,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2021-01-09,1,2020-21,2021,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2021-01-09,1,2020-21,2021,7030607,1827957.82,0,0,Crude Rate
Utah,2021-01-09,1,2020-21,2021,3376238,1215445.68,0,0,Crude Rate
California,2021-01-16,2,2020-21,2021,38886551,3499789.59,0,0,Crude Rate
Colorado,2021-01-16,2,2020-21,2021,5803748,2843836.52,0,0,Crude Rate
Connecticut,2021-01-16,2,2020-21,2021,3621089,869061.36,0,0,Crude Rate
Georgia,2021-01-16,2,2020-21,2021,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2021-01-16,2,2020-21,2021,6133130,2821239.8000000003,0,0,Crude Rate
