model,date,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,r_wis,improvement,percent
COVID-19_forecast_model,2023-04-22,39.59346153846154,14.457884615384616,0.16153846153846144,24.974038461538463,-0.0963461538461538,0.740625,71.61057692307693,0.28846153846153855,0.9182692307692307,0.6210026440622288,37.899735593777116,0.3789973559377712
COVID-19_forecast_model,2023-04-29,50.01326923076923,13.846923076923076,0.3355769230769225,35.83076923076923,-0.1819230769230769,0.7382211538461537,88.14903846153847,0.235576923076923,0.7596153846153846,0.760632093480696,23.936790651930394,0.23936790651930395
COVID-19_forecast_model,2023-05-06,40.95158653846154,12.813125000000001,0.4067307692307692,27.73173076923077,-0.09442307692307689,0.6560096153846153,73.27884615384613,0.32211538461538464,0.8846153846153846,0.680452965584925,31.954703441507505,0.31954703441507504
COVID-19_forecast_model,2023-05-13,31.922115384615385,11.635576923076924,0.3682692307692314,19.91826923076923,-0.06269230769230767,0.6353365384615385,57.144230769230774,0.37019230769230776,0.9134615384615385,0.5834019782436415,41.65980217563585,0.4165980217563585
COVID-19_forecast_model,2023-05-20,28.92735576923077,10.569663461538461,0.325,18.032692307692308,-0.10692307692307691,0.7088942307692307,51.5673076923077,0.28846153846153855,0.889423076923077,0.5489170872690496,45.108291273095034,0.45108291273095036
COVID-19_forecast_model,2023-05-27,26.169134615384614,9.651826923076923,0.33173076923076894,16.185576923076923,-0.08192307692307692,0.6240384615384615,44.3076923076923,0.3605769230769229,0.8798076923076922,0.5228614033130318,47.71385966869682,0.47713859668696823
COVID-19_forecast_model,2023-06-03,22.517163461538463,8.966201923076923,0.5663461538461534,12.984615384615385,-0.04442307692307693,0.5314903846153847,37.90865384615385,0.4567307692307693,0.875,0.47754672745644433,52.245327254355566,0.5224532725435557
COVID-19_forecast_model,2023-06-10,22.30855769230769,8.298942307692307,0.7759615384615386,13.233653846153846,-0.059807692307692305,0.494951923076923,36.40384615384615,0.4375,0.8557692307692307,0.4796362938957688,52.03637061042312,0.5203637061042312
COVID-19_forecast_model,2023-06-17,18.741923076923076,7.815961538461538,0.6884615384615385,10.2375,0.0026923076923077247,0.41850961538461545,29.36057692307693,0.5528846153846155,0.8942307692307693,0.42544506282569344,57.45549371743066,0.5745549371743066
COVID-19_forecast_model,2023-06-24,18.407259615384614,7.706298076923076,0.39230769230769236,10.308653846153844,-0.037692307692307664,0.546875,30.293269230769223,0.43269230769230765,0.9182692307692307,0.43597225273930434,56.40277472606956,0.5640277472606956
