model,date,horizon,location,prediction,quantile,disease
2022-11-05,2022-11-19,2,US,22096,0.025,covid
2022-11-05,2022-11-19,2,US,23267,0.05,covid
2022-11-05,2022-11-19,2,US,24542,0.1,covid
2022-11-05,2022-11-19,2,US,25587,0.15,covid
2022-11-05,2022-11-19,2,US,26463,0.2,covid
2022-11-05,2022-11-19,2,US,27336,0.25,covid
2022-11-05,2022-11-19,2,US,28086,0.3,covid
2022-11-05,2022-11-19,2,US,28825,0.35,covid
2022-11-05,2022-11-19,2,US,29445,0.4,covid
2022-11-05,2022-11-19,2,US,30102,0.45,covid
2022-11-05,2022-11-19,2,US,30740,0.5,covid
2022-11-05,2022-11-19,2,US,31411,0.55,covid
2022-11-05,2022-11-19,2,US,32070,0.6,covid
2022-11-05,2022-11-19,2,US,32805,0.65,covid
2022-11-05,2022-11-19,2,US,33543,0.7,covid
2022-11-05,2022-11-19,2,US,34458,0.75,covid
2022-11-05,2022-11-19,2,US,35421,0.8,covid
2022-11-05,2022-11-19,2,US,36678,0.85,covid
2022-11-05,2022-11-19,2,US,38222,0.9,covid
2022-11-05,2022-11-19,2,US,40707,0.95,covid
2022-11-05,2022-11-19,2,US,43046,0.975,covid
2022-11-05,2022-11-19,2,US,46109,0.99,covid
2022-11-05,2022-11-26,3,US,21282,0.01,covid
2022-11-05,2022-11-26,3,US,22843,0.025,covid
2022-11-05,2022-11-26,3,US,24353,0.05,covid
2022-11-05,2022-11-26,3,US,26283,0.1,covid
2022-11-05,2022-11-26,3,US,27732,0.15,covid
2022-11-05,2022-11-26,3,US,28850,0.2,covid
2022-11-05,2022-11-26,3,US,29978,0.25,covid
2022-11-05,2022-11-26,3,US,30932,0.3,covid
2022-11-05,2022-11-26,3,US,31841,0.35,covid
2022-11-05,2022-11-26,3,US,32672,0.4,covid
2022-11-05,2022-11-26,3,US,33584,0.45,covid
2022-11-05,2022-11-26,3,US,34464,0.5,covid
2022-11-05,2022-11-26,3,US,35401,0.55,covid
2022-11-05,2022-11-26,3,US,36405,0.6,covid
2022-11-05,2022-11-26,3,US,37383,0.65,covid
2022-11-05,2022-11-26,3,US,38510,0.7,covid
2022-11-05,2022-11-26,3,US,39870,0.75,covid
2022-11-05,2022-11-26,3,US,41236,0.8,covid
2022-11-05,2022-11-26,3,US,43182,0.85,covid
2022-11-05,2022-11-26,3,US,45362,0.9,covid
2022-11-05,2022-11-26,3,US,48864,0.95,covid
2022-11-05,2022-11-26,3,US,51785,0.975,covid
2022-11-05,2022-11-26,3,US,56116,0.99,covid
2022-11-05,2022-12-03,4,US,22180,0.01,covid
2022-11-05,2022-12-03,4,US,24127,0.025,covid
2022-11-05,2022-12-03,4,US,25883,0.05,covid
2022-11-05,2022-12-03,4,US,28275,0.1,covid
2022-11-05,2022-12-03,4,US,29900,0.15,covid
2022-11-05,2022-12-03,4,US,31285,0.2,covid
2022-11-05,2022-12-03,4,US,32514,0.25,covid
2022-11-05,2022-12-03,4,US,33765,0.3,covid
2022-11-05,2022-12-03,4,US,34951,0.35,covid
2022-11-05,2022-12-03,4,US,36143,0.4,covid
2022-11-05,2022-12-03,4,US,37326,0.45,covid
2022-11-05,2022-12-03,4,US,38452,0.5,covid
2022-11-05,2022-12-03,4,US,39547,0.55,covid
2022-11-05,2022-12-03,4,US,40893,0.6,covid
2022-11-05,2022-12-03,4,US,42241,0.65,covid
2022-11-05,2022-12-03,4,US,43660,0.7,covid
2022-11-05,2022-12-03,4,US,45322,0.75,covid
2022-11-05,2022-12-03,4,US,47212,0.8,covid
2022-11-05,2022-12-03,4,US,49647,0.85,covid
2022-11-05,2022-12-03,4,US,52405,0.9,covid
2022-11-05,2022-12-03,4,US,57327,0.95,covid
2022-11-05,2022-12-03,4,US,61279,0.975,covid
2022-11-05,2022-12-03,4,US,66754,0.99,covid
2022-11-12,2022-12-10,4,US,NA,0.01,covid
2022-11-12,2022-12-10,4,US,NA,0.025,covid
2022-11-12,2022-12-10,4,US,NA,0.05,covid
2022-11-12,2022-12-10,4,US,NA,0.1,covid
2022-11-12,2022-12-10,4,US,NA,0.15,covid
2022-11-12,2022-12-10,4,US,NA,0.2,covid
2022-11-12,2022-12-10,4,US,NA,0.25,covid
2022-11-12,2022-12-10,4,US,NA,0.3,covid
2022-11-12,2022-12-10,4,US,NA,0.35,covid
2022-11-12,2022-12-10,4,US,NA,0.4,covid
2022-11-12,2022-12-10,4,US,NA,0.45,covid
2022-11-12,2022-12-10,4,US,NA,0.5,covid
2022-11-12,2022-12-10,4,US,NA,0.55,covid
2022-11-12,2022-12-10,4,US,NA,0.6,covid
2022-11-12,2022-12-10,4,US,NA,0.65,covid
2022-11-12,2022-12-10,4,US,NA,0.7,covid
2022-11-12,2022-12-10,4,US,NA,0.75,covid
2022-11-12,2022-12-10,4,US,NA,0.8,covid
2022-11-12,2022-12-10,4,US,NA,0.85,covid
2022-11-12,2022-12-10,4,US,NA,0.9,covid
2022-11-12,2022-12-10,4,US,NA,0.95,covid
2022-11-12,2022-12-10,4,US,NA,0.975,covid
2022-11-12,2022-12-10,4,US,NA,0.99,covid
2022-12-10,2022-12-17,1,US,29267,0.01,covid
2022-12-10,2022-12-17,1,US,30516,0.025,covid
2022-12-10,2022-12-17,1,US,31735,0.05,covid
2022-12-10,2022-12-17,1,US,33064,0.1,covid
2022-12-10,2022-12-17,1,US,34088,0.15,covid
2022-12-10,2022-12-17,1,US,34951,0.2,covid
2022-12-10,2022-12-17,1,US,35636,0.25,covid
2022-12-10,2022-12-17,1,US,36332,0.3,covid
2022-12-10,2022-12-17,1,US,36919,0.35,covid
2022-12-10,2022-12-17,1,US,37479,0.4,covid
2022-12-10,2022-12-17,1,US,38123,0.45,covid
2022-12-10,2022-12-17,1,US,38686,0.5,covid
2022-12-10,2022-12-17,1,US,39279,0.55,covid
2022-12-10,2022-12-17,1,US,39867,0.6,covid
2022-12-10,2022-12-17,1,US,40476,0.65,covid
2022-12-10,2022-12-17,1,US,41188,0.7,covid
2022-12-10,2022-12-17,1,US,41950,0.75,covid
2022-12-10,2022-12-17,1,US,42800,0.8,covid
2022-12-10,2022-12-17,1,US,43783,0.85,covid
2022-12-10,2022-12-17,1,US,44885,0.9,covid
2022-12-10,2022-12-17,1,US,47215,0.95,covid
2022-12-10,2022-12-17,1,US,48949,0.975,covid
2022-12-10,2022-12-17,1,US,51362,0.99,covid
2022-12-10,2022-12-24,2,US,28255,0.01,covid
2022-12-10,2022-12-24,2,US,30120,0.025,covid
2022-12-10,2022-12-24,2,US,31878,0.05,covid
2022-12-10,2022-12-24,2,US,33976,0.1,covid
2022-12-10,2022-12-24,2,US,35402,0.15,covid
2022-12-10,2022-12-24,2,US,36663,0.2,covid
2022-12-10,2022-12-24,2,US,37695,0.25,covid
2022-12-10,2022-12-24,2,US,38642,0.3,covid
2022-12-10,2022-12-24,2,US,39518,0.35,covid
2022-12-10,2022-12-24,2,US,40397,0.4,covid
2022-12-10,2022-12-24,2,US,41371,0.45,covid
2022-12-10,2022-12-24,2,US,42344,0.5,covid
2022-12-10,2022-12-24,2,US,43368,0.55,covid
2022-12-10,2022-12-24,2,US,44341,0.6,covid
2022-12-10,2022-12-24,2,US,45381,0.65,covid
2022-12-10,2022-12-24,2,US,46378,0.7,covid
