model,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,relative_skill,scaled_rel_skill,cov_50,cov_95,wis,mae,rel_wis
PSI-PROF_beta,0,24.311130936937694,10.859479683642299,7.707228103946142,5.744423149349296,0.035002720006695416,-0.056092396535130526,37.42239653512987,0.5745909528392689,0.936477382098171,0.745987410467277,0.8212676782382522,57.46,93.65,24.31,37.42,0.82
PSI-PROF_beta,1,40.371599651997705,14.35620870005727,15.507079423814009,10.508311528126516,-0.03492445266728333,-0.06126646403242222,62.49855116514698,0.47619047619047733,0.876393110435663,0.8031800810126424,0.8183089261997254,47.62,87.64,40.37,62.5,0.82
PSI-PROF_beta,2,55.934209295512694,18.134591532201817,23.429700069751103,14.369917693559598,-0.06496628691002104,-0.05352941176470606,84.72549732620351,0.44491978609625643,0.8181818181818185,0.8450672843252756,0.8320614433144212,44.49,81.82,55.93,84.73,0.83
PSI-PROF_beta,3,62.414708897533096,21.460540794721556,26.283225171106523,14.67094293170514,-0.05895809739524348,-0.02929784824462033,94.90067950169883,0.44733861834654515,0.8267270668176665,0.8339159022299053,0.8181123695295531,44.73,82.67,62.41,94.9,0.82
SGroup-RandomForest,0,23.975811893022566,8.874177349469596,10.291023457343485,4.810611086209452,-0.022629613028537377,-0.10399999999999958,36.49951890034368,0.4611683848797249,0.9264604810996567,0.9094679620621517,1.0012456392085747,46.12,92.65,23.98,36.5,1
SGroup-RandomForest,1,36.926176268245065,11.530598469118967,20.76284359602095,4.632734203105169,-0.05028293408534503,-0.1966714183891663,56.34319315751959,0.43050605844618756,0.90163934426229575,0.912916789600603,0.9301126552664236,43.05,90.16,36.93,56.34,0.93
SGroup-RandomForest,2,49.74435069030993,13.737734013452199,31.252640556109842,4.753976120747859,-0.06358768062304886,-0.2542561065877133,75.67801628423399,0.41376757957068844,0.8874907475943737,0.933472618246661,0.919106192417509,41.38,88.75,49.74,75.68,0.92
SGroup-RandomForest,3,61.102420490678455,15.28351631689929,41.645272283027076,4.173631890752099,-0.07695350938849269,-0.3023325635103936,91.52440338722099,0.4095458044649742,0.8637413394919168,0.9320338820719204,0.9143709164254169,40.95,86.37,61.1,91.52,0.91
SigSci-CREG,0,25.15189970355732,7.4996434453227945,9.346385046113312,8.305871212121259,0.0015579710144927844,-0.23236742424242413,37.920454545454305,0.5274621212121197,0.9024621212121213,1.2720968737015739,1.4004687362010892,52.75,90.25,25.15,37.92,1.4
SigSci-CREG,1,35.006277794568454,7.530866542895385,14.515305902163101,12.960105349509988,-0.07314105608566149,-0.21100297914597768,50.50248262164835,0.4240317775571016,0.8162859980139022,1.2184737538198993,1.2414251456955838,42.4,81.63,35.01,50.5,1.24
SigSci-CREG,2,48.57020923913044,7.5352001811594205,23.237137681159357,17.797871376811596,-0.15528079710144926,-0.20700000000000043,66.56354166666682,0.3395833333333346,0.7145833333333333,1.2599435144941296,1.2405526028636418,33.96,71.46,48.57,66.56,1.24
SigSci-CREG,3,63.923863259210094,7.529666682471198,33.78663885069451,22.60755772604429,-0.23306718505523666,-0.22263904034896642,84.15485278080719,0.2333696837513634,0.6335877862595428,1.314792115186454,1.289875501735442,23.34,63.36,63.92,84.15,1.29
SigSci-TSENS,0,23.170517210144922,8.583892814009662,7.595259661835724,6.991364734299496,0.031056763285024245,-0.018631944444443944,33.45624999999986,0.587499999999999,0.8770833333333328,0.824307379071612,0.9074911960521583,58.75,87.71,23.17,33.46,0.91
SigSci-TSENS,1,39.033994760152204,13.305000935687106,14.08742436529217,11.64156945917279,0.022367912170170402,-0.03713055954088923,56.7998565279769,0.5717360114777615,0.8780487804878049,0.8977694048418581,0.9146799516303539,57.17,87.8,39.03,56.8,0.91
SigSci-TSENS,2,54.039330033643886,17.410965644409938,20.998253105589995,15.630111283643922,-1.565734989648357e-4,-0.05534970238095201,80.15922619047569,0.5319940476190457,0.8645833333333329,0.9324897585084402,0.9181384591878259,53.2,86.46,54.04,80.16,0.92
SigSci-TSENS,3,66.16221792890263,21.013572004569586,27.456118540420768,17.69252738391242,-0.01188898595524494,-0.069783616692426,98.38176197836138,0.5208655332302946,0.8585780525502327,0.9351408031935464,0.9174189583130438,52.09,85.86,66.16,98.38,0.92
Stevens-GBR,0,31.811615648032703,5.305788882642964,24.887842085692185,1.6179846796975734,-0.20687877519287123,-0.41000687757909227,38.257662711737325,0.23314993122420932,0.7613480055020637,1.1135385745040036,1.2259097497889362,23.31,76.13,31.81,38.26,1.23
Stevens-GBR,1,46.04408243322466,7.241883771507449,34.96504663752424,3.837152024192977,-0.197473174967438,-0.33148359486447954,58.639944652876636,0.2503566333808843,0.7767475035663363,1.0384937925147266,1.0580550493064704,25.04,77.67,46.04,58.64,1.06
Stevens-GBR,2,59.80217273149398,8.80746502637678,46.236412153016396,4.758295552100632,-0.20505636070853464,-0.30873333333333214,76.69686272184967,0.23925925925925884,0.7496296296296318,1.0212740737953698,1.0055563570186576,23.93,74.96,59.8,76.7,1.01
Stevens-GBR,3,71.98657886087501,9.74520542457284,57.653266075899054,4.588107360403171,-0.2070168151671469,-0.3240061633281962,90.79186126274665,0.25038520801232733,0.7134052388289667,1.0089165431492138,0.9897965748898855,25.04,71.34,71.99,90.79,0.99
UGA_flucast-Copycat,0,24.52121899789136,8.17955149446062,10.315091876694426,6.026575626736275,-0.0471647086387524,-0.12711316397228656,34.734411085450525,0.4726712856043113,0.8337182448036958,0.8113501551336364,0.8932264121286754,47.27,83.37,24.52,34.73,0.89
UGA_flucast-Copycat,1,39.830628290505935,11.332633102053627,19.464244621875142,9.033750566577183,-0.07581395348837204,-0.1473696872493991,57.773055332799004,0.42341619887730575,0.8291900561347249,0.8371411074605691,0.8529096486805484,42.34,82.92,39.83,57.77,0.85
UGA_flucast-Copycat,2,54.31358995815902,14.562780425686736,29.36547207567754,10.385337456794584,-0.0924758959432418,-0.1628368200836825,79.32133891213398,0.3899581589958166,0.8200836820083689,0.8548304133567083,0.8416743148381898,39,82.01,54.31,79.32,0.84
UGA_flucast-Copycat,3,67.15463083418919,17.496751112632662,39.2899311499105,10.367948571645915,-0.10856175586747292,-0.17000874890638557,96.6526684164475,0.38145231846019334,0.8136482939632548,0.8663744777071994,0.8499558228373448,38.15,81.36,67.15,96.65,0.85
UGA_flucast-INFLAenza,0,21.08651465902874,9.849138158529914,8.733627264827954,2.503749235670834,0.04222765745180698,-0.08154700222057738,32.502590673575,0.5721687638786087,0.9548482605477426,0.7104840709791139,0.7821815693012607,57.22,95.48,21.09,32.5,0.78
UGA_flucast-INFLAenza,1,35.113111758208646,12.765252200689492,18.850152291059988,3.4977072664591327,-0.00803762091240758,-0.13066204772902312,54.9337952270976,0.488837567359506,0.9253271747498073,0.7425184377189115,0.7565046492278437,48.88,92.53,35.11,54.93,0.76
