model,date,location,horizon,prediction,true_value,quantile
flu,2022-10-01,Connecticut,3,12,2,0.975
flu,2022-10-08,Connecticut,4,0,2,0.025
flu,2022-10-08,Connecticut,4,1,2,0.25
flu,2022-10-08,Connecticut,4,3,2,0.5
flu,2022-10-08,Connecticut,4,5,2,0.75
flu,2022-10-08,Connecticut,4,13,2,0.975
flu,2022-09-17,Delaware,1,0,2,0.025
flu,2022-09-17,Delaware,1,0,2,0.25
flu,2022-09-17,Delaware,1,1,2,0.5
flu,2022-09-17,Delaware,1,2,2,0.75
flu,2022-09-17,Delaware,1,5,2,0.975
flu,2022-09-24,Delaware,2,0,0,0.025
flu,2022-09-24,Delaware,2,0,0,0.25
flu,2022-09-24,Delaware,2,1,0,0.5
flu,2022-09-24,Delaware,2,2,0,0.75
flu,2022-09-24,Delaware,2,5,0,0.975
flu,2022-10-01,Delaware,3,0,0,0.025
flu,2022-10-01,Delaware,3,0,0,0.25
flu,2022-10-01,Delaware,3,1,0,0.5
flu,2022-10-01,Delaware,3,2,0,0.75
flu,2022-10-01,Delaware,3,6,0,0.975
flu,2022-10-08,Delaware,4,0,0,0.025
flu,2022-10-08,Delaware,4,0,0,0.25
flu,2022-10-08,Delaware,4,1,0,0.5
flu,2022-10-08,Delaware,4,2,0,0.75
flu,2022-10-08,Delaware,4,6,0,0.975
flu,2022-09-17,District of Columbia,1,0,0,0.025
flu,2022-09-17,District of Columbia,1,0,0,0.25
flu,2022-09-17,District of Columbia,1,0,0,0.5
flu,2022-09-17,District of Columbia,1,1,0,0.75
flu,2022-09-17,District of Columbia,1,2,0,0.975
flu,2022-09-24,District of Columbia,2,0,1,0.025
flu,2022-09-24,District of Columbia,2,0,1,0.25
flu,2022-09-24,District of Columbia,2,0,1,0.5
flu,2022-09-24,District of Columbia,2,1,1,0.75
flu,2022-09-24,District of Columbia,2,2,1,0.975
flu,2022-10-01,District of Columbia,3,0,0,0.025
flu,2022-10-01,District of Columbia,3,0,0,0.25
flu,2022-10-01,District of Columbia,3,0,0,0.5
flu,2022-10-01,District of Columbia,3,1,0,0.75
flu,2022-10-01,District of Columbia,3,3,0,0.975
flu,2022-10-08,District of Columbia,4,0,1,0.025
flu,2022-10-08,District of Columbia,4,0,1,0.25
flu,2022-10-08,District of Columbia,4,0,1,0.5
flu,2022-10-08,District of Columbia,4,1,1,0.75
flu,2022-10-08,District of Columbia,4,3,1,0.975
flu,2022-09-17,Florida,1,25,79,0.025
flu,2022-09-17,Florida,1,43,79,0.25
flu,2022-09-17,Florida,1,56,79,0.5
flu,2022-09-17,Florida,1,74,79,0.75
flu,2022-09-17,Florida,1,119,79,0.975
flu,2022-09-24,Florida,2,19,78,0.025
flu,2022-09-24,Florida,2,39,78,0.25
flu,2022-09-24,Florida,2,56,78,0.5
flu,2022-09-24,Florida,2,80,78,0.75
flu,2022-09-24,Florida,2,148,78,0.975
flu,2022-10-01,Florida,3,16,78,0.025
flu,2022-10-01,Florida,3,38,78,0.25
flu,2022-10-01,Florida,3,57,78,0.5
flu,2022-10-01,Florida,3,86,78,0.75
flu,2022-10-01,Florida,3,185,78,0.975
flu,2022-10-08,Florida,4,15,113,0.025
