location,location_number,date,count,disease
West Virginia,54,2020-11-14,308,covid
Wisconsin,55,2020-11-14,3436,covid
Wyoming,56,2020-11-14,209,covid
Alabama,1,2020-11-21,1378,covid
Alaska,2,2020-11-21,121,covid
Arizona,4,2020-11-21,1621,covid
Arkansas,5,2020-11-21,938,covid
California,6,2020-11-21,4903,covid
Colorado,8,2020-11-21,1854,covid
Connecticut,9,2020-11-21,694,covid
Delaware,10,2020-11-21,161,covid
District of Columbia,11,2020-11-21,134,covid
Florida,12,2020-11-21,3660,covid
Georgia,13,2020-11-21,2566,covid
Hawaii,15,2020-11-21,58,covid
Idaho,16,2020-11-21,381,covid
Illinois,17,2020-11-21,4541,covid
Indiana,18,2020-11-21,2504,covid
Iowa,19,2020-11-21,1563,covid
Kansas,20,2020-11-21,1257,covid
Kentucky,21,2020-11-21,2542,covid
Louisiana,22,2020-11-21,1020,covid
Maine,23,2020-11-21,102,covid
Maryland,24,2020-11-21,1233,covid
Massachusetts,25,2020-11-21,879,covid
Michigan,26,2020-11-21,3130,covid
Minnesota,27,2020-11-21,1676,covid
Mississippi,28,2020-11-21,827,covid
Missouri,29,2020-11-21,2430,covid
Montana,30,2020-11-21,601,covid
Nebraska,31,2020-11-21,952,covid
Nevada,32,2020-11-21,975,covid
New Hampshire,33,2020-11-21,88,covid
New Jersey,34,2020-11-21,2235,covid
New Mexico,35,2020-11-21,864,covid
New York,36,2020-11-21,3039,covid
North Carolina,37,2020-11-21,1450,covid
North Dakota,38,2020-11-21,425,covid
Ohio,39,2020-11-21,4305,covid
Oklahoma,40,2020-11-21,2285,covid
Oregon,41,2020-11-21,352,covid
Pennsylvania,42,2020-11-21,3300,covid
Puerto Rico,72,2020-11-21,949,covid
Rhode Island,44,2020-11-21,178,covid
South Carolina,45,2020-11-21,577,covid
South Dakota,46,2020-11-21,504,covid
Tennessee,47,2020-11-21,1848,covid
Texas,48,2020-11-21,8374,covid
US,NA,2020-11-21,81658,covid
Utah,49,2020-11-21,646,covid
Vermont,50,2020-11-21,20,covid
Virginia,51,2020-11-21,919,covid
Washington,53,2020-11-21,600,covid
West Virginia,54,2020-11-21,373,covid
Wisconsin,55,2020-11-21,3371,covid
Wyoming,56,2020-11-21,255,covid
Alabama,1,2020-11-28,1514,covid
Alaska,2,2020-11-28,154,covid
Arizona,4,2020-11-28,1984,covid
Arkansas,5,2020-11-28,919,covid
California,6,2020-11-28,6871,covid
Colorado,8,2020-11-28,1887,covid
Connecticut,9,2020-11-28,808,covid
Delaware,10,2020-11-28,226,covid
District of Columbia,11,2020-11-28,128,covid
Florida,12,2020-11-28,4056,covid
Georgia,13,2020-11-28,2598,covid
Hawaii,15,2020-11-28,32,covid
Idaho,16,2020-11-28,438,covid
Illinois,17,2020-11-28,4183,covid
Indiana,18,2020-11-28,2635,covid
Iowa,19,2020-11-28,1154,covid
Kansas,20,2020-11-28,1199,covid
Kentucky,21,2020-11-28,2667,covid
Louisiana,22,2020-11-28,1167,covid
Maine,23,2020-11-28,100,covid
Maryland,24,2020-11-28,1472,covid
Massachusetts,25,2020-11-28,868,covid
Michigan,26,2020-11-28,3708,covid
Minnesota,27,2020-11-28,1568,covid
Mississippi,28,2020-11-28,885,covid
Missouri,29,2020-11-28,2118,covid
Montana,30,2020-11-28,531,covid
Nebraska,31,2020-11-28,763,covid
Nevada,32,2020-11-28,1029,covid
New Hampshire,33,2020-11-28,133,covid
New Jersey,34,2020-11-28,2450,covid
New Mexico,35,2020-11-28,818,covid
New York,36,2020-11-28,3828,covid
North Carolina,37,2020-11-28,1548,covid
North Dakota,38,2020-11-28,326,covid
Ohio,39,2020-11-28,4591,covid
Oklahoma,40,2020-11-28,2377,covid
Oregon,41,2020-11-28,438,covid
Pennsylvania,42,2020-11-28,4044,covid
Puerto Rico,72,2020-11-28,758,covid
Rhode Island,44,2020-11-28,193,covid
South Carolina,45,2020-11-28,659,covid
South Dakota,46,2020-11-28,404,covid
Tennessee,47,2020-11-28,1895,covid
Texas,48,2020-11-28,7760,covid
US,NA,2020-11-28,85974,covid
Utah,49,2020-11-28,631,covid
Vermont,50,2020-11-28,27,covid
Virginia,51,2020-11-28,1118,covid
Washington,53,2020-11-28,693,covid
West Virginia,54,2020-11-28,480,covid
Wisconsin,55,2020-11-28,2906,covid
Wyoming,56,2020-11-28,235,covid
Alabama,1,2020-12-05,1925,covid
Alaska,2,2020-12-05,134,covid
Arizona,4,2020-12-05,2685,covid
Arkansas,5,2020-12-05,1003,covid
California,6,2020-12-05,8918,covid
Colorado,8,2020-12-05,1888,covid
Connecticut,9,2020-12-05,936,covid
Delaware,10,2020-12-05,349,covid
District of Columbia,11,2020-12-05,206,covid
Florida,12,2020-12-05,4660,covid
Georgia,13,2020-12-05,3109,covid
Hawaii,15,2020-12-05,48,covid
Idaho,16,2020-12-05,440,covid
Illinois,17,2020-12-05,4014,covid
Indiana,18,2020-12-05,2705,covid
Iowa,19,2020-12-05,1006,covid
Kansas,20,2020-12-05,1190,covid
Kentucky,21,2020-12-05,2968,covid
Louisiana,22,2020-12-05,1383,covid
Maine,23,2020-12-05,125,covid
Maryland,24,2020-12-05,1560,covid
Massachusetts,25,2020-12-05,1276,covid
Michigan,26,2020-12-05,3481,covid
Minnesota,27,2020-12-05,1430,covid
Mississippi,28,2020-12-05,955,covid
Missouri,29,2020-12-05,2125,covid
Montana,30,2020-12-05,419,covid
Nebraska,31,2020-12-05,680,covid
Nevada,32,2020-12-05,1131,covid
New Hampshire,33,2020-12-05,178,covid
New Jersey,34,2020-12-05,2842,covid
New Mexico,35,2020-12-05,947,covid
New York,36,2020-12-05,4608,covid
North Carolina,37,2020-12-05,1893,covid
North Dakota,38,2020-12-05,286,covid
Ohio,39,2020-12-05,5115,covid
Oklahoma,40,2020-12-05,2313,covid
Oregon,41,2020-12-05,498,covid
Pennsylvania,42,2020-12-05,4987,covid
Puerto Rico,72,2020-12-05,653,covid
Rhode Island,44,2020-12-05,252,covid
South Carolina,45,2020-12-05,848,covid
South Dakota,46,2020-12-05,347,covid
Tennessee,47,2020-12-05,2221,covid
Texas,48,2020-12-05,7944,covid
US,NA,2020-12-05,94856,covid
Utah,49,2020-12-05,678,covid
Vermont,50,2020-12-05,34,covid
Virginia,51,2020-12-05,1316,covid
Washington,53,2020-12-05,707,covid
West Virginia,54,2020-12-05,504,covid
Wisconsin,55,2020-12-05,2691,covid
Wyoming,56,2020-12-05,245,covid
Alabama,1,2020-12-12,2216,covid
Alaska,2,2020-12-12,102,covid
Arizona,4,2020-12-12,3177,covid
Arkansas,5,2020-12-12,1022,covid
California,6,2020-12-12,11674,covid
Colorado,8,2020-12-12,1685,covid
Connecticut,9,2020-12-12,1057,covid
Delaware,10,2020-12-12,358,covid
District of Columbia,11,2020-12-12,203,covid
Florida,12,2020-12-12,4899,covid
Georgia,13,2020-12-12,3413,covid
Hawaii,15,2020-12-12,50,covid
Idaho,16,2020-12-12,424,covid
Illinois,17,2020-12-12,3844,covid
Indiana,18,2020-12-12,2751,covid
Iowa,19,2020-12-12,821,covid
Kansas,20,2020-12-12,1180,covid
Kentucky,21,2020-12-12,2930,covid
Louisiana,22,2020-12-12,1444,covid
Maine,23,2020-12-12,129,covid
Maryland,24,2020-12-12,1543,covid
Massachusetts,25,2020-12-12,1761,covid
Michigan,26,2020-12-12,3116,covid
Minnesota,27,2020-12-12,1235,covid
Mississippi,28,2020-12-12,1045,covid
Missouri,29,2020-12-12,2121,covid
Montana,30,2020-12-12,420,covid
Nebraska,31,2020-12-12,558,covid
Nevada,32,2020-12-12,1252,covid
New Hampshire,33,2020-12-12,294,covid
New Jersey,34,2020-12-12,3134,covid
New Mexico,35,2020-12-12,881,covid
New York,36,2020-12-12,5584,covid
North Carolina,37,2020-12-12,2159,covid
North Dakota,38,2020-12-12,231,covid
Ohio,39,2020-12-12,5090,covid
Oklahoma,40,2020-12-12,2167,covid
Oregon,41,2020-12-12,436,covid
