model,date,location,horizon,prediction,true_value,quantile
covid,2022-10-01,Louisiana,3,380,361,0.25
covid,2022-10-01,Louisiana,3,472,361,0.5
covid,2022-10-01,Louisiana,3,593,361,0.75
covid,2022-10-01,Louisiana,3,893,361,0.975
covid,2022-10-08,Louisiana,4,216,354,0.025
covid,2022-10-08,Louisiana,4,352,354,0.25
covid,2022-10-08,Louisiana,4,456,354,0.5
covid,2022-10-08,Louisiana,4,593,354,0.75
covid,2022-10-08,Louisiana,4,967,354,0.975
covid,2022-09-17,Maine,1,61,111,0.025
covid,2022-09-17,Maine,1,87,111,0.25
covid,2022-09-17,Maine,1,105,111,0.5
covid,2022-09-17,Maine,1,124,111,0.75
covid,2022-09-17,Maine,1,172,111,0.975
covid,2022-09-24,Maine,2,48,129,0.025
covid,2022-09-24,Maine,2,78,129,0.25
covid,2022-09-24,Maine,2,99,129,0.5
covid,2022-09-24,Maine,2,126,129,0.75
covid,2022-09-24,Maine,2,194,129,0.975
covid,2022-10-01,Maine,3,40,131,0.025
covid,2022-10-01,Maine,3,71,131,0.25
covid,2022-10-01,Maine,3,95,131,0.5
covid,2022-10-01,Maine,3,126,131,0.75
covid,2022-10-01,Maine,3,210,131,0.975
covid,2022-10-08,Maine,4,33,160,0.025
covid,2022-10-08,Maine,4,65,160,0.25
covid,2022-10-08,Maine,4,90,160,0.5
covid,2022-10-08,Maine,4,123,160,0.75
covid,2022-10-08,Maine,4,218,160,0.975
covid,2022-09-17,Maryland,1,336,478,0.025
covid,2022-09-17,Maryland,1,426,478,0.25
covid,2022-09-17,Maryland,1,483,478,0.5
covid,2022-09-17,Maryland,1,547,478,0.75
covid,2022-09-17,Maryland,1,687,478,0.975
covid,2022-09-24,Maryland,2,284,479,0.025
covid,2022-09-24,Maryland,2,391,479,0.25
covid,2022-09-24,Maryland,2,464,479,0.5
covid,2022-09-24,Maryland,2,552,479,0.75
covid,2022-09-24,Maryland,2,766,479,0.975
covid,2022-10-01,Maryland,3,247,418,0.025
covid,2022-10-01,Maryland,3,363,418,0.25
covid,2022-10-01,Maryland,3,444,418,0.5
covid,2022-10-01,Maryland,3,549,418,0.75
covid,2022-10-01,Maryland,3,825,418,0.975
covid,2022-10-08,Maryland,4,219,376,0.025
covid,2022-10-08,Maryland,4,339,376,0.25
covid,2022-10-08,Maryland,4,429,376,0.5
covid,2022-10-08,Maryland,4,542,376,0.75
covid,2022-10-08,Maryland,4,866,376,0.975
covid,2022-09-17,Massachusetts,1,432,743,0.025
covid,2022-09-17,Massachusetts,1,546,743,0.25
covid,2022-09-17,Massachusetts,1,620,743,0.5
covid,2022-09-17,Massachusetts,1,705,743,0.75
covid,2022-09-17,Massachusetts,1,887,743,0.975
covid,2022-09-24,Massachusetts,2,353,804,0.025
covid,2022-09-24,Massachusetts,2,500,804,0.25
covid,2022-09-24,Massachusetts,2,594,804,0.5
covid,2022-09-24,Massachusetts,2,706,804,0.75
covid,2022-09-24,Massachusetts,2,986,804,0.975
covid,2022-10-01,Massachusetts,3,305,835,0.025
covid,2022-10-01,Massachusetts,3,458,835,0.25
covid,2022-10-01,Massachusetts,3,568,835,0.5
covid,2022-10-01,Massachusetts,3,702,835,0.75
covid,2022-10-01,Massachusetts,3,1037,835,0.975
covid,2022-10-08,Massachusetts,4,263,909,0.025
covid,2022-10-08,Massachusetts,4,427,909,0.25
covid,2022-10-08,Massachusetts,4,544,909,0.5
covid,2022-10-08,Massachusetts,4,693,909,0.75
