location,date,epiweek,epiyear,population,count,weekly_rate
Massachusetts,2020-11-07,45,2020,6978662,6,0.08597636624327128
Michigan,2020-11-07,45,2020,10032075,9,0.08971224796465338
Minnesota,2020-11-07,45,2020,5716548,1,0.017493074491808692
Mississippi,2020-11-07,45,2020,2927305,13,0.4440944828092734
Missouri,2020-11-07,45,2020,6164537,8,0.12977454754509543
Montana,2020-11-07,45,2020,1119563,1,0.08932056525626517
Nebraska,2020-11-07,45,2020,1961505,2,0.10196252367442346
Nevada,2020-11-07,45,2020,3165539,2,0.06318039360753414
New Hampshire,2020-11-07,45,2020,1394692,0,0
New Jersey,2020-11-07,45,2020,9254137,4,0.04322391164081535
New Mexico,2020-11-07,45,2020,2100079,10,0.4761725630321526
New York,2020-11-07,45,2020,19657190,11,0.0559591681211811
North Carolina,2020-11-07,45,2020,10596562,4,0.037748092258602366
North Dakota,2020-11-07,45,2020,772061,1,0.129523444391052
Ohio,2020-11-07,45,2020,11749303,3,0.02553342951492527
Oklahoma,2020-11-07,45,2020,4001266,10,0.24992090003513887
Oregon,2020-11-07,45,2020,4238665,1,0.023592333907020254
Pennsylvania,2020-11-07,45,2020,12969276,17,0.13107902091065068
Puerto Rico,2020-11-07,45,2020,3221789,7,0.21727059096669582
Rhode Island,2020-11-07,45,2020,1090390,2,0.18342061097405515
South Carolina,2020-11-07,45,2020,5246039,3,0.05718600262026264
South Dakota,2020-11-07,45,2020,906458,1,0.11031950735720794
Tennessee,2020-11-07,45,2020,7030607,22,0.312917504847021
Texas,2020-11-07,45,2020,29914599,117,0.3911133824658656
US,2020-11-07,45,2020,332200066,450,0.13546053901145222
Utah,2020-11-07,45,2020,3376238,1,0.029618765027820907
Vermont,2020-11-07,45,2020,646910,0,0
Virginia,2020-11-07,45,2020,8583866,19,0.22134548698686582
Washington,2020-11-07,45,2020,7735834,0,0
West Virginia,2020-11-07,45,2020,1774977,2,0.11267751638471935
Wisconsin,2020-11-07,45,2020,5891022,9,0.15277484959316057
Wyoming,2020-11-07,45,2020,578583,0,0
Alabama,2020-11-14,46,2020,5063778,21,0.41471012354807024
Alaska,2020-11-14,46,2020,711426,0,0
Arizona,2020-11-14,46,2020,7341018,28,0.3814184899151589
Arkansas,2020-11-14,46,2020,3041878,10,0.32874428231506986
California,2020-11-14,46,2020,38886551,41,0.10543490987411046
Colorado,2020-11-14,46,2020,5803748,5,0.08615122503595952
Connecticut,2020-11-14,46,2020,3621089,1,0.027616001705564264
Delaware,2020-11-14,46,2020,1014872,0,0
District of Columbia,2020-11-14,46,2020,668576,0,0
Florida,2020-11-14,46,2020,22183852,38,0.17129576955345718
Georgia,2020-11-14,46,2020,10855454,25,0.23029898150736025
Hawaii,2020-11-14,46,2020,1398977,0,0
Idaho,2020-11-14,46,2020,1935521,1,0.05166567554679076
Illinois,2020-11-14,46,2020,12563096,3,0.023879464106618304
Indiana,2020-11-14,46,2020,6831941,8,0.11709702996556909
Iowa,2020-11-14,46,2020,3200224,16,0.4999650024498285
Kansas,2020-11-14,46,2020,2916451,3,0.10286474897058102
Kentucky,2020-11-14,46,2020,4494379,12,0.26700017955762073
Louisiana,2020-11-14,46,2020,4575074,10,0.2185756995405976
