model,reference_date,wis,rel_wis,mae,cov_50,cov_95
CADPH-FluCAT_Ensemble,2023-10-14,15.69,0.77,23.36,25,75
CADPH-FluCAT_Ensemble,2023-10-21,40.67,0.94,49.14,25,50
CADPH-FluCAT_Ensemble,2023-10-28,130.77,1.71,140.76,0,0
CADPH-FluCAT_Ensemble,2023-11-04,188.04,1.49,198.65,0,25
CADPH-FluCAT_Ensemble,2023-11-11,260.7,1.37,281.05,0,0
CADPH-FluCAT_Ensemble,2023-11-18,99.44,0.58,147.5,0,50
CADPH-FluCAT_Ensemble,2023-11-25,76.73,0.44,124.28,0,50
CADPH-FluCAT_Ensemble,2023-12-02,360.54,1.08,415.49,0,0
CADPH-FluCAT_Ensemble,2023-12-09,261.86,0.66,341.11,0,50
CADPH-FluCAT_Ensemble,2023-12-16,245.45,0.62,306.83,50,50
CADPH-FluCAT_Ensemble,2023-12-23,281.85,0.66,412.03,25,50
CADPH-FluCAT_Ensemble,2023-12-30,1424.53,3.99,1625.98,0,0
CADPH-FluCAT_Ensemble,2024-01-06,327.49,0.97,547.23,0,50
CADPH-FluCAT_Ensemble,2024-01-13,89.28,0.29,46.82,100,100
CADPH-FluCAT_Ensemble,2024-01-20,216.18,1.36,402.28,25,100
CADPH-FluCAT_Ensemble,2024-01-27,446.66,3.62,746.86,0,75
CADPH-FluCAT_Ensemble,2024-02-03,110.14,1.49,108.35,100,100
CADPH-FluCAT_Ensemble,2024-02-10,112.7,2.28,23.39,100,100
CADPH-FluCAT_Ensemble,2024-02-17,112.71,2.88,68.59,100,100
CADPH-FluCAT_Ensemble,2024-02-24,174.4,4.03,83.97,100,100
CADPH-FluCAT_Ensemble,2024-03-02,104.45,2.8,46.07,100,100
CADPH-FluCAT_Ensemble,2024-03-09,143.21,2.66,97.77,100,100
CADPH-FluCAT_Ensemble,2024-03-16,37.13,0.8,35.93,100,100
CADPH-FluCAT_Ensemble,2024-03-23,49.14,1.19,94.83,0,100
CADPH-FluCAT_Ensemble,2024-03-30,35.09,1.01,61.7,0,100
CADPH-FluCAT_Ensemble,2024-04-06,19.09,0.45,33.21,25,100
CADPH-FluCAT_Ensemble,2024-04-13,36.01,0.83,60.97,0,66.67
CADPH-FluCAT_Ensemble,2024-04-27,4.63,0.28,2.7,100,100
CMU-TimeSeries,2023-10-14,8.11,0.79,12.23,47.12,94.23
CMU-TimeSeries,2023-10-21,9.57,0.88,14.7,46.81,96.28
CMU-TimeSeries,2023-10-28,14.97,0.95,23.6,40.87,94.71
CMU-TimeSeries,2023-11-04,15.41,1.01,23.78,32.98,95.74
CMU-TimeSeries,2023-11-11,31.16,1.19,48.07,19.12,87.25
CMU-TimeSeries,2023-11-18,26.69,0.92,41.8,25,84.78
CMU-TimeSeries,2023-11-25,35.08,0.9,53,20.11,77.72
CMU-TimeSeries,2023-12-02,68.9,0.89,104.7,19.15,76.06
CMU-TimeSeries,2023-12-09,98.58,0.86,148.27,21.08,71.57
CMU-TimeSeries,2023-12-16,112.51,0.81,166.35,14.53,69.77
CMU-TimeSeries,2023-12-23,71.94,0.7,116.76,22.02,83.33
CMU-TimeSeries,2023-12-30,68.62,1.03,100.26,68.88,95.41
CMU-TimeSeries,2024-01-06,160.92,1.64,297.55,29.5,100
CMU-TimeSeries,2024-01-13,120.65,1.3,218.51,37.5,99.38
CMU-TimeSeries,2024-01-20,47.9,0.8,58.71,77.72,99.46
CMU-TimeSeries,2024-01-27,48.06,1.04,69.51,65.5,99
CMU-TimeSeries,2024-02-03,40.27,0.92,60.67,58.65,98.08
CMU-TimeSeries,2024-02-10,38.36,1.04,61.78,48.08,99.04
CMU-TimeSeries,2024-02-24,26.79,0.87,34.1,70.1,99.51
CMU-TimeSeries,2024-03-02,25.38,0.83,33.16,74.48,98.44
CMU-TimeSeries,2024-03-09,30.34,0.67,48.5,60.58,98.56
CMU-TimeSeries,2024-03-16,26.53,0.63,40.79,54.33,99.52
CMU-TimeSeries,2024-03-30,14.51,0.68,21.01,60.1,99.04
CMU-TimeSeries,2024-04-06,14.06,0.6,20.95,50,99.04
CMU-TimeSeries,2024-04-13,15.98,0.65,23.73,51.06,100
CMU-TimeSeries,2024-04-20,11.69,0.6,18.46,43,99
CMU-TimeSeries,2024-04-27,7.57,0.7,11.9,40.82,93.88
CU-ensemble,2023-10-14,10.61,1.04,15.15,30.29,63.94
CU-ensemble,2023-10-21,11.92,0.99,16.6,35.1,73.08
CU-ensemble,2023-10-28,14.3,0.91,20.88,39.42,74.04
CU-ensemble,2023-11-04,22,1.16,29.1,33.17,72.6
CU-ensemble,2023-11-11,25.15,0.98,31.43,21.15,51.92
CU-ensemble,2023-11-18,23.47,0.71,34.6,29.33,77.4
CU-ensemble,2023-11-25,28.93,0.65,44.03,40.87,86.06
CU-ensemble,2023-12-02,41.66,0.54,58.39,34.13,78.85
CU-ensemble,2023-12-09,70.06,0.6,96.26,25,70.1
CU-ensemble,2023-12-16,94.46,0.66,123.95,20.67,57.21
CU-ensemble,2023-12-23,68.53,0.59,102.17,25.48,77.4
CU-ensemble,2023-12-30,92.33,1.47,131.88,29.33,70.67
CU-ensemble,2024-01-06,205.12,2.14,262,10.58,36.54
CU-ensemble,2024-01-13,93.56,0.96,150.82,22.12,78.37
CU-ensemble,2024-01-20,36.41,0.61,56.56,57.21,97.6
CU-ensemble,2024-01-27,38.37,0.87,59.29,55.77,93.75
CU-ensemble,2024-02-03,36.22,0.83,55.28,54.81,92.31
CU-ensemble,2024-02-10,36.99,1.01,58.01,48.08,93.27
CU-ensemble,2024-02-17,32.2,0.95,50.45,62.02,95.67
CU-ensemble,2024-02-24,29.77,1,44.81,66.83,95.19
CU-ensemble,2024-03-02,26.76,0.84,39.62,73.08,96.63
CU-ensemble,2024-03-09,23.55,0.53,38.54,72.12,99.04
CU-ensemble,2024-03-16,26.57,0.64,44.27,57.69,100
CU-ensemble,2024-03-23,27.29,0.98,43.53,52.4,99.04
CU-ensemble,2024-03-30,14.72,0.69,23.1,66.83,99.04
CU-ensemble,2024-04-06,12.53,0.53,19.82,58.17,98.56
CU-ensemble,2024-04-13,11.42,0.47,17.78,64.74,97.44
CU-ensemble,2024-04-20,9.69,0.51,15.9,56.73,97.12
CU-ensemble,2024-04-27,6.47,0.62,9.8,67.31,96.15
FluSight-baseline,2023-10-14,9.77,1,12.34,88.46,100
FluSight-baseline,2023-10-21,11.91,1,17.7,77.88,100
FluSight-baseline,2023-10-28,15.77,1,24.73,74.52,98.08
FluSight-baseline,2023-11-04,19.39,1,30.99,41.83,97.12
FluSight-baseline,2023-11-11,25.76,1,40.71,31.73,97.12
FluSight-baseline,2023-11-18,32.32,1,49.96,23.08,93.75
FluSight-baseline,2023-11-25,43.3,1,64.85,12.98,92.79
FluSight-baseline,2023-12-02,75.41,1,102.19,10.1,82.69
FluSight-baseline,2023-12-09,114.97,1,145.86,6.86,64.71
FluSight-baseline,2023-12-16,139.36,1,173.79,5.29,51.44
FluSight-baseline,2023-12-23,115.27,1,147.25,6.25,54.81
FluSight-baseline,2023-12-30,64.45,1,87.22,16.35,75.96
FluSight-baseline,2024-01-06,94.43,1,127.22,11.54,77.4
FluSight-baseline,2024-01-13,97.05,1,131.32,10.1,65.38
FluSight-baseline,2024-01-20,59.75,1,87.34,15.38,88.46
FluSight-baseline,2024-01-27,44.27,1,65.76,17.31,94.71
FluSight-baseline,2024-02-03,43.34,1,64.03,22.12,92.79
FluSight-baseline,2024-02-10,36.25,1,54.1,24.52,94.23
FluSight-baseline,2024-02-17,33.79,1,49.62,31.25,94.71
FluSight-baseline,2024-02-24,30.53,1,45.91,32.21,98.08
FluSight-baseline,2024-03-02,32.59,1,48.23,35.58,96.15
FluSight-baseline,2024-03-09,46.28,1,68.62,24.04,91.83
FluSight-baseline,2024-03-16,42.96,1,63.96,20.67,92.79
FluSight-baseline,2024-03-23,28.21,1,43.67,24.04,97.6
FluSight-baseline,2024-03-30,21.58,1,33.81,37.5,99.04
FluSight-baseline,2024-04-06,23.97,1,38.04,25.48,100
FluSight-baseline,2024-04-13,24.93,1,38.22,28.85,99.36
FluSight-baseline,2024-04-20,18.92,1,28.89,34.62,100
FluSight-baseline,2024-04-27,10.55,1,16.06,32.69,100
FluSight-ensemble,2023-10-14,7.38,0.72,11.19,74.04,99.52
FluSight-ensemble,2023-10-21,9.16,0.76,14.84,64.42,97.12
FluSight-ensemble,2023-10-28,11.9,0.76,18.74,52.4,95.19
FluSight-ensemble,2023-11-04,16.6,0.87,25.71,44.23,94.71
FluSight-ensemble,2023-11-11,23.1,0.91,34.93,34.62,88.46
FluSight-ensemble,2023-11-18,22.88,0.7,37.68,37.02,90.38
FluSight-ensemble,2023-11-25,28.63,0.65,43.83,42.79,89.9
FluSight-ensemble,2023-12-02,53.33,0.7,78.73,27.4,77.88
FluSight-ensemble,2023-12-09,72.54,0.63,106.56,28.92,71.08
FluSight-ensemble,2023-12-16,87.86,0.63,127.47,23.56,71.63
FluSight-ensemble,2023-12-23,65.45,0.57,98.24,35.58,75
FluSight-ensemble,2023-12-30,65.33,1.03,108.11,52.88,91.35
FluSight-ensemble,2024-01-06,111.5,1.17,191.34,28.85,88.46
FluSight-ensemble,2024-01-13,62.83,0.64,101.88,36.06,98.08
FluSight-ensemble,2024-01-20,32.2,0.53,46.58,73.56,98.56
FluSight-ensemble,2024-01-27,43.64,0.97,72.24,46.15,93.27
FluSight-ensemble,2024-02-03,41.7,0.93,64.6,47.6,91.83
FluSight-ensemble,2024-02-10,40.33,1.08,63.25,46.15,95.19
FluSight-ensemble,2024-02-17,32.95,0.92,54.38,46.15,97.12
FluSight-ensemble,2024-02-24,23.87,0.78,32.88,66.35,97.12
FluSight-ensemble,2024-03-02,21.15,0.65,30.32,68.27,98.08
FluSight-ensemble,2024-03-09,24.2,0.52,39.9,66.35,99.52
FluSight-ensemble,2024-03-16,21.27,0.5,33.65,62.5,100
FluSight-ensemble,2024-03-23,15.1,0.54,21.96,76.92,100
FluSight-ensemble,2024-03-30,12.75,0.59,18.36,75,100
FluSight-ensemble,2024-04-06,12.14,0.51,17.77,72.6,99.52
FluSight-ensemble,2024-04-13,13.04,0.53,21.26,62.18,99.36
FluSight-ensemble,2024-04-20,10.44,0.55,16.92,58.65,99.04
FluSight-ensemble,2024-04-27,6.83,0.65,10.99,59.62,100
FluSight-lop_norm,2023-10-14,8.49,0.84,11.35,77.88,100
FluSight-lop_norm,2023-10-21,9.75,0.8,15.47,73.08,100
FluSight-lop_norm,2023-10-28,12.46,0.8,21.04,58.17,100
FluSight-lop_norm,2023-11-04,15.95,0.83,25.58,54.33,100
FluSight-lop_norm,2023-11-11,21.84,0.85,35.48,42.79,98.56
FluSight-lop_norm,2023-11-18,23.2,0.71,38.51,53.37,100
FluSight-lop_norm,2023-11-25,28.83,0.66,43.31,45.19,98.56
FluSight-lop_norm,2023-12-02,47.91,0.63,78.35,32.21,97.6
FluSight-lop_norm,2023-12-09,65.12,0.56,106.15,34.8,93.63
FluSight-lop_norm,2023-12-16,79.97,0.57,128.12,30.77,94.71
FluSight-lop_norm,2023-12-23,65.14,0.57,98.61,45.19,95.19
FluSight-lop_norm,2023-12-30,67.75,1.07,102.29,61.06,99.04
FluSight-lop_norm,2024-01-06,106.35,1.12,177.53,38.94,100
FluSight-lop_norm,2024-01-13,68.21,0.7,102.37,49.04,99.52
FluSight-lop_norm,2024-01-20,39.43,0.65,47.75,80.29,100
FluSight-lop_norm,2024-01-27,44.91,0.99,74.95,55.29,99.04
FluSight-lop_norm,2024-02-03,41.85,0.93,66.73,53.85,97.6
FluSight-lop_norm,2024-02-10,40.3,1.08,64.2,51.44,100
FluSight-lop_norm,2024-02-17,34.09,0.97,55.25,50.96,99.52
FluSight-lop_norm,2024-02-24,25.81,0.85,34.54,69.71,100
FluSight-lop_norm,2024-03-02,23.4,0.71,31.27,79.81,99.52
FluSight-lop_norm,2024-03-09,24.22,0.52,36.12,72.12,100
FluSight-lop_norm,2024-03-16,21.77,0.51,29.95,73.56,100
FluSight-lop_norm,2024-03-23,16.64,0.6,20.48,84.13,100
FluSight-lop_norm,2024-03-30,13.59,0.63,17.67,82.69,100
FluSight-lop_norm,2024-04-06,12.31,0.52,15.76,76.92,100
FluSight-lop_norm,2024-04-13,12.69,0.52,18.93,71.15,100
FluSight-lop_norm,2024-04-20,10.49,0.55,15.95,66.35,100
FluSight-lop_norm,2024-04-27,7.08,0.68,10.15,65.38,100
GH-model,2023-10-28,32.47,2.05,36.56,7.69,11.06
GH-model,2023-11-04,45,2.29,49.12,4.33,6.73
GH-model,2023-11-11,61.08,2.34,65.82,2.88,3.37
GH-model,2023-11-18,80.39,2.48,85.7,2.4,3.37
GH-model,2023-12-02,157.85,2.09,164.77,3.37,3.85
GH-model,2023-12-09,226.23,1.98,234.62,3.43,3.43
GH-model,2023-12-16,278.37,2.02,288.24,1.44,2.4
GH-model,2023-12-23,295.23,2.57,307.79,0.48,0.96
GH-model,2024-01-06,210.93,2.21,230.8,3.37,6.73
GT-FluFNP,2023-10-14,12.93,1.29,19.18,54,82.5
GT-FluFNP,2023-10-21,12.13,1.02,17.72,60.71,87.76
GT-FluFNP,2023-10-28,18.32,1.17,26.53,44.39,86.73
GT-FluFNP,2023-11-04,21.66,1.13,29.19,38,78
GT-FluFNP,2023-11-11,33.95,1.31,43.57,23,58
GT-FluFNP,2023-11-18,46.19,1.43,56.54,15.5,43
GT-FluFNP,2023-11-25,62.96,1.44,74.22,11,29.5
GT-FluFNP,2023-12-02,87.07,1.13,98.84,4,20.5
GT-FluFNP,2023-12-09,143.01,1.2,154.99,3.06,11.73
GT-FluFNP,2023-12-16,168.57,1.17,180.54,2.5,6
GT-FluFNP,2023-12-23,122.72,1.02,135.07,7.81,18.23
GT-FluFNP,2024-01-06,139.9,1.42,166.09,11.5,24
GT-FluFNP,2024-01-13,98.21,1.06,124.98,12.23,30.32
GT-FluFNP,2024-01-20,53.84,0.9,77.26,21.43,54.59
GT-FluFNP,2024-01-27,55.67,1.18,84.01,40.5,85
GT-FluFNP,2024-02-03,71.73,1.54,107.12,25.5,69
GT-FluFNP,2024-02-10,65.33,1.68,96.45,28,72.5
GT-FluFNP,2024-02-24,28.96,0.93,41.64,57,90
GT-FluFNP,2024-03-02,25.45,0.76,38.17,51,86
GT-FluFNP,2024-03-09,47.84,1,70.84,27.5,66
GT-FluFNP,2024-03-16,38.84,0.89,58.33,34.5,74.5
GT-FluFNP,2024-03-23,26.87,0.94,40.55,44.5,85
GT-FluFNP,2024-04-06,15.8,0.66,23.85,63.5,97
GT-FluFNP,2024-04-13,14.77,0.59,23.55,59.33,97.33
GT-FluFNP,2024-04-20,14.05,0.72,22.15,61,99
GT-FluFNP,2024-04-27,10.38,1.01,15.61,72,100
ISU_NiemiLab-ENS,2023-10-28,19.36,1.25,24.68,26.92,66.83
ISU_NiemiLab-ENS,2023-11-04,22.89,1.4,28.11,25,61.27
ISU_NiemiLab-ENS,2023-11-11,39.74,1.55,48.45,15.87,47.6
ISU_NiemiLab-ENS,2023-11-18,48.56,1.52,60.22,15.38,47.6
ISU_NiemiLab-ENS,2023-12-02,92.8,1.23,113.34,5.77,29.81
ISU_NiemiLab-ENS,2023-12-09,143.55,1.25,169.88,3.43,25.98
ISU_NiemiLab-ENS,2023-12-16,161.42,1.16,196.4,2.4,22.6
ISU_NiemiLab-ENS,2024-01-06,74.67,0.78,111.21,33.17,80.29
ISU_NiemiLab-ENS,2024-01-13,71.74,0.74,107.49,34.62,80.29
ISU_NiemiLab-ENS,2024-01-20,54.68,0.9,82.63,49.04,97.12
ISU_NiemiLab-ENS,2024-01-27,47.42,1.04,76.57,56.25,98.08
ISU_NiemiLab-ENS,2024-02-10,63.91,1.69,92.66,38.94,80.77
ISU_NiemiLab-ENS,2024-02-17,64.79,1.79,95.75,37.02,75.48
ISU_NiemiLab-ENS,2024-02-24,44.06,1.47,69.22,43.27,89.9
ISU_NiemiLab-ENS,2024-03-02,35.67,1.1,54.98,44.61,90.2
ISU_NiemiLab-ENS,2024-03-09,22.73,0.5,34.55,60.1,98.56
ISU_NiemiLab-ENS,2024-03-16,38.21,0.87,37.99,75.48,99.04
ISU_NiemiLab-ENS,2024-03-30,14.59,0.69,21.57,78.37,100
ISU_NiemiLab-NLH,2023-10-14,10.79,1.04,14.05,31.25,81.73
ISU_NiemiLab-NLH,2023-10-21,16.04,1.32,20.08,26.92,72.6
ISU_NiemiLab-NLH,2023-10-28,18.07,1.17,23.54,27.88,74.52
ISU_NiemiLab-NLH,2023-11-04,28.78,1.49,33.8,17.79,48.56
ISU_NiemiLab-NLH,2023-11-11,37.12,1.44,47.27,16.83,57.21
ISU_NiemiLab-NLH,2023-11-18,50.69,1.58,63.93,13.5,47.5
ISU_NiemiLab-NLH,2023-12-02,90.47,1.19,111.34,9.62,35.1
ISU_NiemiLab-NLH,2023-12-09,146.13,1.28,175.75,5.88,32.35
ISU_NiemiLab-NLH,2023-12-16,104.52,0.74,145.32,12.98,60.1
ISU_NiemiLab-NLH,2024-01-06,79.22,0.79,116.29,38.94,83.17
ISU_NiemiLab-NLH,2024-01-13,75.99,0.76,111.97,36.54,85.1
ISU_NiemiLab-NLH,2024-01-20,58.53,0.95,95.01,45.19,94.23
ISU_NiemiLab-NLH,2024-01-27,54.82,1.18,86.54,39.71,88.24
ISU_NiemiLab-NLH,2024-02-03,67.27,1.51,99.62,31.73,76.44
ISU_NiemiLab-NLH,2024-02-10,89.25,2.37,116.62,32.35,63.73
ISU_NiemiLab-NLH,2024-02-24,54.76,1.86,82.74,37.5,85.58
ISU_NiemiLab-NLH,2024-03-02,34.65,1.06,54.39,45.59,93.14
ISU_NiemiLab-NLH,2024-03-09,30.9,0.67,47.37,62.02,96.15
ISU_NiemiLab-NLH,2024-03-16,87.66,1.95,94.97,67.79,96.15
ISU_NiemiLab-NLH,2024-03-23,26.85,0.96,42.56,51.92,94.71
ISU_NiemiLab-NLH,2024-03-30,25.03,1.15,36.56,63.94,96.63
ISU_NiemiLab-NLH,2024-04-06,18.04,0.78,27.68,64.9,98.56
ISU_NiemiLab-NLH,2024-04-13,13.56,0.55,20.6,66.03,98.72
ISU_NiemiLab-NLH,2024-04-20,14.48,0.77,22.7,51.92,97.12
ISU_NiemiLab-SIR,2023-10-28,18.99,1.44,22.51,22.06,53.43
ISU_NiemiLab-SIR,2023-11-04,22.89,1.4,28.11,25,61.27
ISU_NiemiLab-SIR,2023-11-11,40.07,1.71,45.06,12.25,30.88
ISU_NiemiLab-SIR,2023-11-18,51.43,1.73,59.06,12.25,31.37
ISU_NiemiLab-SIR,2023-12-02,85.05,1.15,104.97,7.35,32.84
ISU_NiemiLab-SIR,2023-12-09,113.64,0.99,143.19,3,35
ISU_NiemiLab-SIR,2023-12-16,116.65,0.85,151.64,5.39,37.25
ISU_NiemiLab-SIR,2024-01-06,118.84,1.32,179.46,36.27,76.47
ISU_NiemiLab-SIR,2024-01-13,72.02,0.78,102.04,21.57,55.88
ISU_NiemiLab-SIR,2024-01-20,68.01,1.15,102.08,49.02,83.82
ISU_NiemiLab-SIR,2024-01-27,85.01,1.81,122.4,30.88,72.55
ISU_NiemiLab-SIR,2024-02-10,63.91,1.69,92.66,38.94,80.77
ISU_NiemiLab-SIR,2024-02-17,96.57,2.66,122.69,23.53,54.9
ISU_NiemiLab-SIR,2024-03-02,63.95,1.94,86.67,26.96,64.71
ISU_NiemiLab-SIR,2024-03-09,38.96,0.86,58.08,45.1,83.82
ISU_NiemiLab-SIR,2024-03-16,40.4,0.97,61.56,30.88,72.55
ISU_NiemiLab-SIR,2024-03-30,27.53,1.31,42.44,47.55,83.82
ISU_NiemiLab-SIR,2024-04-20,22.79,1.21,35.37,50,91.35
JHU_CSSE-CSSE_Ensemble,2024-01-13,43.88,0.42,69.36,30,79
JHU_CSSE-CSSE_Ensemble,2024-01-20,51.91,0.83,70.93,31,66.5
JHU_CSSE-CSSE_Ensemble,2024-01-27,70.68,1.49,91.71,22,54
JHU_CSSE-CSSE_Ensemble,2024-02-03,52.91,1.15,75.36,30,75
JHU_CSSE-CSSE_Ensemble,2024-02-10,36.62,0.96,56.85,28.5,79.5
JHU_CSSE-CSSE_Ensemble,2024-02-17,34.2,0.9,53.86,32.5,81
JHU_CSSE-CSSE_Ensemble,2024-02-24,25.11,0.79,39.02,44,84.5
JHU_CSSE-CSSE_Ensemble,2024-03-02,27.08,0.79,41.47,36.5,86
JHU_CSSE-CSSE_Ensemble,2024-03-09,41.29,0.86,62.62,38,80
JHU_CSSE-CSSE_Ensemble,2024-03-16,27.98,0.64,43.88,54,94.5
JHU_CSSE-CSSE_Ensemble,2024-03-23,19.34,0.69,30.35,53.5,95
JHU_CSSE-CSSE_Ensemble,2024-03-30,15.76,0.71,24.18,58,95.5
JHU_CSSE-CSSE_Ensemble,2024-04-06,18.39,0.75,28.36,55,93.5
JHU_CSSE-CSSE_Ensemble,2024-04-13,22.23,0.87,34.87,38.67,89.33
JHU_CSSE-CSSE_Ensemble,2024-04-20,13.03,0.67,20.42,50,95
JHU_CSSE-CSSE_Ensemble,2024-04-27,7.68,0.72,12.34,46,96
LUcompUncertLab-chimera,2023-10-14,43.12,5.7,55.74,9.62,40.38
LUcompUncertLab-chimera,2023-10-21,15.88,1.65,22.08,58.97,83.33
LUcompUncertLab-chimera,2023-10-28,28.86,2.46,42.85,7.05,43.59
LUcompUncertLab-chimera,2023-11-04,20.96,1.32,30.1,28.85,83.33
LUcompUncertLab-chimera,2023-11-11,24.2,1.25,31.18,37.82,75
LUcompUncertLab-chimera,2023-11-18,27.07,1.13,36.51,33.97,75
LUcompUncertLab-chimera,2023-11-25,25.59,0.83,34.85,28.21,69.23
LUcompUncertLab-chimera,2023-12-02,54.07,0.71,76.54,19.71,62.98
LUcompUncertLab-chimera,2023-12-09,68.6,0.59,91.57,29.9,59.31
LUcompUncertLab-chimera,2023-12-16,85.38,0.62,113.43,23.08,61.54
LUcompUncertLab-chimera,2023-12-23,87.49,0.76,127.26,28.85,66.83
LUcompUncertLab-chimera,2023-12-30,136.8,2.2,208.92,53.37,79.33
LUcompUncertLab-chimera,2024-01-06,180.1,1.88,286.14,37.98,84.62
LUcompUncertLab-chimera,2024-01-13,100.88,1.01,149.85,56.25,93.27
LUcompUncertLab-chimera,2024-01-20,46.03,0.76,63.71,67.79,96.63
LUcompUncertLab-chimera,2024-01-27,53.03,1.18,82.21,50,90.87
LUcompUncertLab-chimera,2024-02-03,45.08,1,66.01,53.37,90.87
LUcompUncertLab-chimera,2024-02-10,44.6,1.2,70.12,43.27,93.75
LUcompUncertLab-chimera,2024-02-17,39.75,1.15,62.45,45.19,95.67
LUcompUncertLab-chimera,2024-02-24,31.13,1.01,41.33,59.13,94.71
LUcompUncertLab-chimera,2024-03-02,29.02,0.88,38.55,64.42,94.23
LUcompUncertLab-chimera,2024-03-09,27.42,0.59,36.63,60.58,98.56
LUcompUncertLab-chimera,2024-03-16,22.64,0.53,30.42,61.54,97.6
LUcompUncertLab-chimera,2024-03-23,18.01,0.66,25.34,66.83,99.04
LUcompUncertLab-chimera,2024-03-30,15.06,0.71,20.95,68.75,98.56
LUcompUncertLab-chimera,2024-04-06,12.84,0.55,15.69,73.08,99.04
LUcompUncertLab-chimera,2024-04-13,13.11,0.54,18.72,69.23,99.36
LUcompUncertLab-chimera,2024-04-20,10.78,0.57,15.13,72.12,100
LUcompUncertLab-chimera,2024-04-27,7.87,0.75,9.26,67.31,98.08
LosAlamos_NAU-CModel_Flu,2023-10-21,14.35,1.19,17.51,23.08,52.4
LosAlamos_NAU-CModel_Flu,2023-10-28,20.02,1.28,23.16,28.85,58.17
LosAlamos_NAU-CModel_Flu,2023-11-04,31.13,1.59,34.77,20.19,49.04
LosAlamos_NAU-CModel_Flu,2023-11-11,40.7,1.57,46.64,12.02,36.06
LosAlamos_NAU-CModel_Flu,2023-11-18,62.53,1.94,68.86,6.73,18.75
LosAlamos_NAU-CModel_Flu,2023-11-25,73.44,1.71,83.55,4.81,20.67
LosAlamos_NAU-CModel_Flu,2023-12-02,92.43,1.2,105.87,9.13,18.75
LosAlamos_NAU-CModel_Flu,2023-12-09,65.41,0.55,82.6,26,58
LosAlamos_NAU-CModel_Flu,2023-12-16,80.95,0.59,105.18,19.71,63.94
LosAlamos_NAU-CModel_Flu,2023-12-23,113.08,0.99,148,17.31,50
LosAlamos_NAU-CModel_Flu,2023-12-30,310.26,4.87,365.73,12.02,35.1
LosAlamos_NAU-CModel_Flu,2024-01-06,574.31,6.05,652.66,4.81,13.94
LosAlamos_NAU-CModel_Flu,2024-01-13,673.99,6.93,812.42,0.48,3.85
LosAlamos_NAU-CModel_Flu,2024-01-20,558.92,9.33,712.49,0.96,7.69
LosAlamos_NAU-CModel_Flu,2024-02-03,69.92,1.5,85.43,15.87,39.9
LosAlamos_NAU-CModel_Flu,2024-02-10,73.38,1.88,90.99,12.02,37.5
LosAlamos_NAU-CModel_Flu,2024-02-17,68.19,1.81,85.62,11.54,38.46
LosAlamos_NAU-CModel_Flu,2024-02-24,50.18,1.61,68.43,9.62,48.08
LosAlamos_NAU-CModel_Flu,2024-03-02,36.29,1.11,52.32,13.46,57.69
LosAlamos_NAU-CModel_Flu,2024-03-09,32.6,0.71,45.89,24.52,60.58
LosAlamos_NAU-CModel_Flu,2024-03-16,36.4,0.87,48.37,29.81,63.94
LosAlamos_NAU-CModel_Flu,2024-03-23,27.84,1.09,38.33,33.82,62.75
LosAlamos_NAU-CModel_Flu,2024-03-30,40.92,1.89,54.66,30.29,58.65
LosAlamos_NAU-CModel_Flu,2024-04-06,23.26,1,32.79,34.62,64.9
LosAlamos_NAU-CModel_Flu,2024-04-13,30.31,1.25,40.89,29.49,53.21
LosAlamos_NAU-CModel_Flu,2024-04-20,39.77,2.11,52.03,18.27,35.58
